feature,segment,count,rank_corr,monotonicity_ratio,stability_classification,bucket_0_avg_r,bucket_0_count,bucket_1_avg_r,bucket_1_count,bucket_2_avg_r,bucket_2_count,bucket_3_avg_r,bucket_3_count,bucket_4_avg_r,bucket_4_count
wick_ratio,overall,466,0.08568794247682475,0.75,stable_positive,-0.07199794885805295,94.0,0.017894327496084828,93.0,0.1932640472791256,93.0,0.2475568357995444,93.0,0.16839742700885332,93.0
wick_ratio,eqh,233,0.09586575577393941,0.5,,-0.16595447821313766,47.0,-0.09249594039661034,46.0,0.27951966710265175,47.0,0.20173265830701279,46.0,0.10718971415366696,47.0
wick_ratio,eql,233,0.07936252046985624,0.5,,-0.11690333993064862,47.0,0.296646840126947,46.0,0.1808621144448528,47.0,0.11819501771069939,46.0,0.2992449100640688,47.0
wick_ratio,first_half,233,0.10245992132203723,0.5,,-0.10496807357826064,47.0,-0.1305478695373281,46.0,0.15543876477759863,47.0,0.118780612321718,46.0,0.2516384345081887,47.0
wick_ratio,second_half,233,0.06638266647795141,0.5,,-0.039027824137845266,47.0,0.17940187316023315,46.0,0.28447019979089366,47.0,0.22797854394161252,46.0,0.16213919540222807,47.0
atr_percentile,overall,466,0.04564292520791373,0.5,stable_positive,0.12450909997834034,98.0,-0.028370371687229327,94.0,0.19413915011736715,91.0,0.007443089184418654,91.0,0.2573326898573726,92.0
atr_percentile,eqh,233,-0.07005093343020166,0.25,,0.4098396033521793,50.0,-0.013305734379014939,45.0,-0.08621526504896823,45.0,-0.006095666993511569,48.0,-0.007123860238958808,45.0
atr_percentile,eql,233,0.1529238708446836,0.75,,-0.1727101743694086,48.0,-0.018556865437079607,49.0,0.5438971884362092,43.0,-0.04413232322889884,46.0,0.510535769736839,47.0
atr_percentile,first_half,233,0.024104537010749983,0.5,,0.1337153575833809,51.0,-0.252341309104706,42.0,0.2313690541343281,48.0,-0.034927083677408335,48.0,0.18198800545565375,44.0
atr_percentile,second_half,233,0.07227189620549732,0.5,,0.04323008717344549,48.0,0.22593880022279483,45.0,0.07105600319579464,49.0,0.048109035624881044,44.0,0.42670215123070304,47.0
same_side_clusters_nearby_at_detect,overall,466,-0.023980469774702685,1.0,unstable,0.10321676937591835,419.0,0.1767200368959317,47.0,,,,,,
same_side_clusters_nearby_at_detect,eqh,233,-0.027899994667607415,0.0,,0.07055114002080429,207.0,0.03062628779236675,26.0,,,,,,
same_side_clusters_nearby_at_detect,eql,233,-0.021644030736681193,1.0,,0.13511198294435525,212.0,0.3575980119765359,21.0,,,,,,
same_side_clusters_nearby_at_detect,first_half,233,-0.08774584675134137,0.0,,0.08753804988451565,210.0,-0.2054415391048955,23.0,,,,,,
same_side_clusters_nearby_at_detect,second_half,233,0.03715210719739406,1.0,,0.11897050666393065,209.0,0.5429582138967244,24.0,,,,,,
touch_component,overall,466,0.015891813046541355,,unstable,0.11063018906141328,466.0,,,,,,,,
touch_component,eqh,233,-0.014924876216833062,,,0.06609600629574258,233.0,,,,,,,,
touch_component,eql,233,0.050548104930312907,,,0.15516437182708398,233.0,,,,,,,,
touch_component,first_half,233,0.0920419451893008,,,0.05861731792418751,233.0,,,,,,,,
touch_component,second_half,233,-0.045869172502546865,,,0.16264306019863906,233.0,,,,,,,,
width_component,overall,466,-0.026205422675908287,0.3333333333333333,stable_negative,0.10703817622079098,187.0,0.1939133565847262,93.0,0.15650823153377486,93.0,-0.011308371459031566,93.0,,
width_component,eqh,233,-0.02855837340983464,0.5,,0.041596920484695224,47.0,0.00933441936465681,46.0,0.24482775662912964,47.0,-0.001667119527556814,46.0,0.03373859255429046,47.0
width_component,eql,233,-0.028978988366689957,0.5,,0.43311610633672176,47.0,-0.03749470865419327,46.0,0.056996449905192134,47.0,0.47707409630695613,46.0,-0.15112007105715905,47.0
width_component,first_half,233,-0.019996497326509016,0.3333333333333333,,0.08621626530267953,93.0,-0.03675085182448546,47.0,0.44639173598371057,46.0,-0.2801490939641143,47.0,,
width_component,second_half,233,-0.03013945855050932,0.75,,0.2366802190669824,47.0,0.13039132204094822,46.0,0.14051762732290976,47.0,0.15137316877226603,46.0,0.1533269716712789,47.0
active_age_component,overall,466,,,degenerate,,,,,,,,,,
active_age_component,eqh,233,,,,,,,,,,,,,
active_age_component,eql,233,,,,,,,,,,,,,
active_age_component,first_half,233,,,,,,,,,,,,,
active_age_component,second_half,233,,,,,,,,,,,,,
formation_delay_component,overall,466,-0.11002841855936621,0.25,stable_negative,0.3978392590265485,96.0,0.09384515226064627,96.0,-0.1889455988887046,98.0,0.16560953925772337,86.0,0.09584681037751921,90.0
formation_delay_component,eqh,233,-0.12734182247691955,0.25,,0.3529209678156248,48.0,-0.019053743652701495,47.0,-0.09778324827281122,49.0,0.14721643804955675,48.0,-0.07120294872136518,41.0
formation_delay_component,eql,233,-0.09774539691417478,0.5,,0.4427575502374723,48.0,0.22602582032600674,51.0,-0.2667831996367895,41.0,-0.013711598764616091,46.0,0.31792476842481404,47.0
formation_delay_component,first_half,233,-0.1929033915001406,0.25,,0.4177561976536757,49.0,0.032480360586863315,45.0,-0.08185254849667695,46.0,-0.017283329688414423,46.0,-0.07901243486359712,47.0
formation_delay_component,second_half,233,-0.02429125727376812,0.5,,0.33074511429737424,47.0,0.12313472649471788,52.0,-0.1527608255248539,43.0,0.21201510419966454,48.0,0.28697203192013476,43.0
structural_component,overall,466,-0.03526736017320742,0.5,unstable,0.24574758820655196,94.0,0.12174913134894357,93.0,0.14171247813919888,93.0,-0.046126883271396905,93.0,0.08861575562414374,93.0
structural_component,eqh,233,-0.08341912982211737,0.25,,0.02401381044200158,47.0,0.24001157123648004,46.0,0.1049169648675443,47.0,0.09100141981911748,46.0,-0.12523350130208769,47.0
structural_component,eql,233,0.007972634011280398,0.25,,0.3582289840561199,47.0,0.2654150703040735,46.0,-0.058037763946719015,47.0,-0.09049020613421555,46.0,0.2978248412501118,47.0
structural_component,first_half,233,0.005862417056078173,0.5,,0.12580164950807993,47.0,0.00582740795960929,46.0,0.0676533318652517,47.0,0.04348959243301217,46.0,0.048869551781457764,47.0
structural_component,second_half,233,-0.07335187602407355,0.5,,0.23348416117275822,47.0,0.31399306420619194,46.0,0.270580921022108,47.0,-0.0908274085163362,46.0,0.08381178726363443,47.0
