segment,component,variant,count,top_quartile_avg_r,top_decile_avg_r,bottom_decile_avg_r,top_quartile_win_rate,top_decile_win_rate,bottom_decile_win_rate,eqh_top_quartile_avg_r,eql_top_quartile_avg_r,eqh_top_quartile_win_rate,eql_top_quartile_win_rate,rank_corr,eqh_rank_corr,eql_rank_corr,win_rate_gap,variance_zero
eqh,structural_component,neutralized,233,0.06609600629574258,0.06609600629574258,0.06609600629574258,0.463519313304721,0.463519313304721,0.463519313304721,0.06609600629574258,,0.463519313304721,,,,,0.0,False
eql,touch_component,current,233,0.15516437182708398,0.15516437182708398,0.1508392549470382,0.45493562231759654,0.45493562231759654,0.45652173913043476,,0.15516437182708398,,0.45493562231759654,0.050548104930312907,,0.050548104930312907,-0.001586116812838212,False
eql,touch_component,inverted,233,0.1508392549470382,0.1508392549470382,0.15516437182708398,0.45652173913043476,0.45652173913043476,0.45493562231759654,,0.1508392549470382,,0.45652173913043476,-0.050548104930312907,,-0.050548104930312907,0.001586116812838212,False
eql,touch_component,neutralized,233,0.15516437182708398,0.15516437182708398,0.15516437182708398,0.45493562231759654,0.45493562231759654,0.45493562231759654,,0.15516437182708398,,0.45493562231759654,,,,0.0,False
eql,width_component,current,233,-0.019103771045199558,-0.035160118224391995,0.43311610633672176,0.423728813559322,0.4583333333333333,0.46808510638297873,,-0.019103771045199558,,0.423728813559322,-0.028978988366689957,,-0.028978988366689957,-0.04435629282365672,False
eql,width_component,inverted,233,0.4392889318718324,0.43311610633672176,-0.035160118224391995,0.4745762711864407,0.46808510638297873,0.4583333333333333,,0.4392889318718324,,0.4745762711864407,0.028978988366689957,,0.028978988366689957,0.016242937853107375,False
eql,width_component,neutralized,233,0.15516437182708398,0.15516437182708398,0.15516437182708398,0.45493562231759654,0.45493562231759654,0.45493562231759654,,0.15516437182708398,,0.45493562231759654,,,,0.0,False
eql,active_age_component,current,233,0.15516437182708398,0.15516437182708398,0.15516437182708398,0.45493562231759654,0.45493562231759654,0.45493562231759654,,0.15516437182708398,,0.45493562231759654,,,,0.0,True
eql,active_age_component,inverted,233,0.15516437182708398,0.15516437182708398,0.15516437182708398,0.45493562231759654,0.45493562231759654,0.45493562231759654,,0.15516437182708398,,0.45493562231759654,,,,0.0,True
eql,active_age_component,neutralized,233,0.15516437182708398,0.15516437182708398,0.15516437182708398,0.45493562231759654,0.45493562231759654,0.45493562231759654,,0.15516437182708398,,0.45493562231759654,,,,0.0,True
eql,formation_delay_component,current,233,0.23994265340704202,0.215141260790739,0.5140018306409034,0.5,0.4117647058823529,0.5384615384615384,,0.23994265340704202,,0.5,-0.09774539691417478,,-0.09774539691417478,-0.038461538461538436,False
eql,formation_delay_component,inverted,233,0.3706067844740675,0.5140018306409034,0.215141260790739,0.5238095238095238,0.5384615384615384,0.4117647058823529,,0.3706067844740675,,0.5238095238095238,0.09774539691417478,,0.09774539691417478,0.11204481792717091,False
eql,formation_delay_component,neutralized,233,0.15516437182708398,0.15516437182708398,0.15516437182708398,0.45493562231759654,0.45493562231759654,0.45493562231759654,,0.15516437182708398,,0.45493562231759654,,,,0.0,False
eql,structural_component,current,233,0.16632410716934107,0.3122238029748941,-0.0718603310171362,0.5254237288135594,0.5416666666666666,0.3333333333333333,,0.16632410716934107,,0.5254237288135594,0.007972634011280398,,0.007972634011280398,0.19209039548022605,False
eql,structural_component,inverted,233,0.3018457425151602,-0.0718603310171362,0.3122238029748941,0.4406779661016949,0.3333333333333333,0.5416666666666666,,0.3018457425151602,,0.4406779661016949,-0.007972634011280398,,-0.007972634011280398,-0.10098870056497172,False
eql,structural_component,neutralized,233,0.15516437182708398,0.15516437182708398,0.15516437182708398,0.45493562231759654,0.45493562231759654,0.45493562231759654,,0.15516437182708398,,0.45493562231759654,,,,0.0,False
2-touch,touch_component,current,459,0.11073051772056913,0.11073051772056913,0.11073051772056913,0.4596949891067538,0.4596949891067538,0.4596949891067538,0.07044663316996702,0.1508392549470382,0.462882096069869,0.45652173913043476,,,,0.0,True
2-touch,touch_component,inverted,459,0.11073051772056913,0.11073051772056913,0.11073051772056913,0.4596949891067538,0.4596949891067538,0.4596949891067538,0.07044663316996702,0.1508392549470382,0.462882096069869,0.45652173913043476,,,,0.0,True
