event_idx,timestamp,event_type,event_side,event_direction,quality_score,tradeable_score,nearest_displacement_distance,displacement_same_bar,displacement_pm1,displacement_pm2
14719,2016-11-17 14:00:00+00:00,choch,bear,-1.0,0.26617769848838757,0.4661776984883876,2.0,0,0,1
14733,2016-11-21 22:00:00+00:00,choch,bull,1.0,0.4225622443607897,0.6225622443607898,8.0,0,0,0
14756,2016-11-27 22:00:00+00:00,choch,bull,1.0,0.5933801274290755,0.8933801274290756,3.0,0,0,0
14788,2016-12-05 06:00:00+00:00,choch,bear,-1.0,0.4440036636420427,0.8940036636420428,20.0,0,0,0
14954,2017-01-15 22:00:00+00:00,choch,bull,1.0,0.22925619346235934,0.5792561934623593,3.0,0,0,0
14970,2017-01-18 18:00:00+00:00,choch,bear,-1.0,0.6727119603264361,0.9727119603264361,12.0,0,0,0
14977,2017-01-19 22:00:00+00:00,choch,bull,1.0,0.33008671149989577,0.6800867114998959,5.0,0,0,0
14994,2017-01-24 18:00:00+00:00,choch,bear,-1.0,0.3340434318854899,0.53404343188549,12.0,0,0,0
13018,2017-01-30 14:00:00+00:00,choch,bull,1.0,0.34084605500641774,0.5408460550064178,16.0,0,0,0
13068,2017-02-09 22:00:00+00:00,choch,bear,-1.0,0.4674749306043453,0.7674749306043454,13.0,0,0,0
13092,2017-02-15 22:00:00+00:00,choch,bull,1.0,0.3436764944921436,0.7436764944921436,6.0,0,0,0
13103,2017-02-17 18:00:00+00:00,choch,bear,-1.0,0.5192956317238845,0.9692956317238846,1.0,0,1,1
13138,2017-02-27 18:00:00+00:00,choch,bear,-1.0,0.5308212527334372,0.8308212527334372,4.0,0,0,0
13210,2017-03-15 17:00:00+00:00,choch,bull,1.0,0.8296520658589615,1.0,34.0,0,0,0
13287,2017-04-03 13:00:00+00:00,choch,bull,1.0,0.4995859788147554,0.6995859788147555,9.0,0,0,0
13298,2017-04-05 09:00:00+00:00,choch,bear,-1.0,0.7531503123174639,1.0,10.0,0,0,0
13322,2017-04-11 09:00:00+00:00,choch,bull,1.0,0.723269689610598,1.0,3.0,0,0,0
13367,2017-04-23 21:00:00+00:00,choch,bear,-1.0,0.27718318435006595,0.627183184350066,10.0,0,0,0
13384,2017-04-26 17:00:00+00:00,choch,bull,1.0,0.4004588300416422,0.8504588300416422,4.0,0,0,0
13401,2017-05-01 13:00:00+00:00,choch,bear,-1.0,0.6971532710921621,0.8971532710921621,10.0,0,0,0
13498,2017-05-23 17:00:00+00:00,choch,bear,-1.0,0.6640166479124356,0.8640166479124357,12.0,0,0,0
13513,2017-05-26 05:00:00+00:00,choch,bull,1.0,0.705381081839828,1.0,22.0,0,0,0
13524,2017-05-30 05:00:00+00:00,choch,bear,-1.0,0.4145335923817185,0.6145335923817186,11.0,0,0,0
13543,2017-06-02 09:00:00+00:00,choch,bull,1.0,0.730116972613488,1.0,1.0,0,1,1
13624,2017-06-21 21:00:00+00:00,choch,bull,1.0,0.7088097692942121,1.0,8.0,0,0,0
13638,2017-06-26 05:00:00+00:00,choch,bear,-1.0,0.7027856109758783,0.9027856109758784,0.0,1,1,1
13656,2017-06-29 05:00:00+00:00,choch,bear,-1.0,0.41202357513014387,0.6120235751301439,13.0,0,0,0
13677,2017-07-04 21:00:00+00:00,choch,bull,1.0,0.4667928259091776,0.6667928259091777,4.0,0,0,0
13692,2017-07-07 09:00:00+00:00,choch,bear,-1.0,0.4787366546544528,0.6787366546544529,6.0,0,0,0
13772,2017-07-26 17:00:00+00:00,choch,bull,1.0,0.6493290923182747,0.9493290923182748,3.0,0,0,0
13849,2017-08-14 13:00:00+00:00,choch,bear,-1.0,0.24697644364772733,0.4469764436477273,1.0,0,1,1
13905,2017-08-27 21:00:00+00:00,choch,bull,1.0,0.38078288567006624,0.6807828856700663,8.0,0,0,0
13927,2017-08-31 13:00:00+00:00,choch,bull,1.0,0.5276924886563651,0.7276924886563652,2.0,0,0,1
13951,2017-09-06 17:00:00+00:00,choch,bear,-1.0,0.23790978393572476,0.5379097839357248,10.0,0,0,0
13968,2017-09-11 13:00:00+00:00,choch,bear,-1.0,0.45585925536881944,0.6558592553688195,7.0,0,0,0
12014,2017-09-21 01:00:00+00:00,choch,bear,-1.0,0.46513948690654205,0.6651394869065421,0.0,1,1,1
12029,2017-09-25 13:00:00+00:00,choch,bull,1.0,0.7779103880649944,1.0,3.0,0,0,0
12040,2017-09-27 09:00:00+00:00,choch,bear,-1.0,0.5285146270103812,0.7285146270103813,4.0,0,0,0
12085,2017-10-08 21:00:00+00:00,choch,bull,1.0,0.4238124771864443,0.7238124771864444,12.0,0,0,0
12101,2017-10-11 13:00:00+00:00,choch,bear,-1.0,0.5207371063902938,0.8207371063902938,26.0,0,0,0
12138,2017-10-19 17:00:00+00:00,choch,bull,1.0,0.23262604640874632,0.4326260464087463,8.0,0,0,0
12145,2017-10-22 21:00:00+00:00,choch,bear,-1.0,0.3318062601846907,0.5318062601846908,1.0,0,1,1
12174,2017-10-27 17:00:00+00:00,choch,bull,1.0,0.3852120676926797,0.8352120676926797,20.0,0,0,0
12189,2017-11-01 05:00:00+00:00,choch,bull,1.0,0.5734934006196868,0.8734934006196868,5.0,0,0,0
12203,2017-11-03 13:00:00+00:00,choch,bear,-1.0,0.6555616818310882,0.8555616818310883,9.0,0,0,0
12209,2017-11-06 14:00:00+00:00,choch,bull,1.0,0.5745967807302416,0.8745967807302416,8.0,0,0,0
12234,2017-11-10 18:00:00+00:00,choch,bear,-1.0,0.5163329187739357,0.9163329187739357,14.0,0,0,0
12245,2017-11-14 14:00:00+00:00,choch,bull,1.0,0.6169723102763147,0.9169723102763148,3.0,0,0,0
12297,2017-11-27 10:00:00+00:00,choch,bull,1.0,0.7205194649556366,1.0,19.0,0,0,0
12323,2017-12-01 18:00:00+00:00,choch,bull,1.0,0.3513869066452698,0.5513869066452698,20.0,0,0,0
12370,2017-12-13 14:00:00+00:00,choch,bull,1.0,0.22086238500366218,0.5208623850036622,23.0,0,0,0
12450,2018-01-03 22:00:00+00:00,choch,bear,-1.0,0.5568184838631389,0.756818483863139,6.0,0,0,0
12471,2018-01-09 10:00:00+00:00,choch,bear,-1.0,0.3740324319080668,0.5740324319080669,27.0,0,0,0
12517,2018-01-19 06:00:00+00:00,choch,bull,1.0,0.3820000626432155,0.6820000626432156,1.0,0,1,1
12556,2018-01-29 18:00:00+00:00,choch,bear,-1.0,0.26369677722562557,0.4636967772256256,8.0,0,0,0
12578,2018-02-02 10:00:00+00:00,choch,bear,-1.0,0.5810676369331476,0.8810676369331476,6.0,0,0,0
12587,2018-02-05 22:00:00+00:00,choch,bull,1.0,0.24312461264494376,0.44312461264494374,3.0,0,0,0
12640,2018-02-16 18:00:00+00:00,choch,bear,-1.0,0.49814587053707493,0.698145870537075,2.0,0,0,1
12679,2018-02-27 10:00:00+00:00,choch,bear,-1.0,0.4048000918582869,0.704800091858287,23.0,0,0,0
12697,2018-03-02 10:00:00+00:00,choch,bull,1.0,0.6152525518353715,0.9152525518353716,13.0,0,0,0
12775,2018-03-21 09:00:00+00:00,choch,bull,1.0,0.32910339804302485,0.5291033980430249,7.0,0,0,0
12799,2018-03-27 09:00:00+00:00,choch,bear,-1.0,0.43029374641940965,0.7302937464194097,2.0,0,0,1
12834,2018-04-05 05:00:00+00:00,choch,bear,-1.0,0.29267579393872184,0.4926757939387218,11.0,0,0,0
12985,2018-05-10 09:00:00+00:00,choch,bull,1.0,0.3390988267040761,0.5390988267040762,3.0,0,0,0
12998,2018-05-14 13:00:00+00:00,choch,bear,-1.0,0.5460341459076258,0.7460341459076258,4.0,0,0,0
11094,2018-06-05 13:00:00+00:00,choch,bull,1.0,0.536325997395064,0.8363259973950641,4.0,0,0,0
11124,2018-06-12 13:00:00+00:00,choch,bear,-1.0,0.2954087838967405,0.5954087838967406,5.0,0,0,0
11134,2018-06-14 05:00:00+00:00,choch,bull,1.0,0.652985952850604,0.9529859528506041,3.0,0,0,0
11241,2018-07-10 05:00:00+00:00,choch,bear,-1.0,0.5667517773172562,0.8667517773172563,1.0,0,1,1
11316,2018-07-26 17:00:00+00:00,choch,bear,-1.0,0.4055289133122153,0.6055289133122154,2.0,0,0,1
11345,2018-08-02 13:00:00+00:00,choch,bear,-1.0,0.43673410272399593,0.636734102723996,3.0,0,0,0
11378,2018-08-10 01:00:00+00:00,choch,bear,-1.0,0.6088601580480029,0.9088601580480029,21.0,0,0,0
11454,2018-08-28 17:00:00+00:00,choch,bear,-1.0,0.45550220715650735,0.8555022071565074,10.0,0,0,0
11493,2018-09-06 09:00:00+00:00,choch,bull,1.0,0.49075346140969855,0.7907534614096986,2.0,0,0,1
11503,2018-09-10 01:00:00+00:00,choch,bear,-1.0,0.2821820497504882,0.48218204975048823,2.0,0,0,1
11559,2018-09-21 09:00:00+00:00,choch,bear,-1.0,0.675718550702998,0.8757185507029981,5.0,0,0,0
11684,2018-10-22 05:00:00+00:00,choch,bear,-1.0,0.41403101895959327,0.6140310189595933,8.0,0,0,0
11714,2018-10-29 05:00:00+00:00,choch,bear,-1.0,0.485459605351232,0.6854596053512321,38.0,0,0,0
11745,2018-11-05 10:00:00+00:00,choch,bear,-1.0,0.31508736022638956,0.5150873602263896,13.0,0,0,0
11788,2018-11-14 14:00:00+00:00,choch,bull,1.0,0.6910331946666123,0.9910331946666123,30.0,0,0,0
11858,2018-11-30 10:00:00+00:00,choch,bear,-1.0,0.4497738178351035,0.7497738178351036,8.0,0,0,0
11929,2018-12-18 06:00:00+00:00,choch,bull,1.0,0.3425073174478484,0.5425073174478484,3.0,0,0,0
11938,2018-12-19 18:00:00+00:00,choch,bear,-1.0,0.6806493237818807,0.9806493237818807,6.0,0,0,0
10017,2019-01-09 14:00:00+00:00,choch,bull,1.0,0.483350781062854,0.6833507810628541,1.0,0,1,1
10057,2019-01-18 06:00:00+00:00,choch,bear,-1.0,0.6240348504567879,0.9240348504567879,15.0,0,0,0
10074,2019-01-23 06:00:00+00:00,choch,bull,1.0,0.2399363160595192,0.43993631605951916,6.0,0,0,0
10147,2019-02-08 10:00:00+00:00,choch,bull,1.0,0.6437161249436756,1.0,29.0,0,0,0
10152,2019-02-11 06:00:00+00:00,choch,bear,-1.0,0.4803027707241605,0.6803027707241606,24.0,0,0,0
10264,2019-03-08 02:00:00+00:00,choch,bull,1.0,0.5338125402956811,0.7338125402956812,10.0,0,0,0
10317,2019-03-20 21:00:00+00:00,choch,bull,1.0,0.678225936894827,1.0,14.0,0,0,0
10344,2019-03-27 09:00:00+00:00,choch,bear,-1.0,0.3800927640356506,0.6800927640356507,17.0,0,0,0
10380,2019-04-04 09:00:00+00:00,choch,bear,-1.0,0.7481412955151624,1.0,19.0,0,0,0
10443,2019-04-21 21:00:00+00:00,choch,bull,1.0,0.5126736302401979,0.8126736302401979,54.0,0,0,0
10450,2019-04-23 01:00:00+00:00,choch,bear,-1.0,0.44945731531027033,0.6494573153102704,47.0,0,0,0
10464,2019-04-25 09:00:00+00:00,choch,bull,1.0,0.6016292307413156,0.8016292307413156,33.0,0,0,0
10501,2019-05-03 13:00:00+00:00,choch,bull,1.0,0.49549463386492176,0.7954946338649218,4.0,0,0,0
10584,2019-05-23 09:00:00+00:00,choch,bull,1.0,0.8240236700796953,1.0,7.0,0,0,0
10602,2019-05-28 13:00:00+00:00,choch,bear,-1.0,0.3533598132581476,0.5533598132581476,11.0,0,0,0
10614,2019-05-30 13:00:00+00:00,choch,bull,1.0,0.6558593879390854,1.0,20.0,0,0,0
10653,2019-06-10 01:00:00+00:00,choch,bear,-1.0,0.421802742288824,0.721802742288824,12.0,0,0,0
10684,2019-06-17 05:00:00+00:00,choch,bear,-1.0,0.492509390017805,0.6925093900178051,16.0,0,0,0
10725,2019-06-26 01:00:00+00:00,choch,bear,-1.0,0.300497577000813,0.5504975770008129,1.0,0,1,1
10736,2019-06-27 21:00:00+00:00,choch,bull,1.0,0.5723501048513273,0.8723501048513274,0.0,1,1,1
10752,2019-07-02 13:00:00+00:00,choch,bull,1.0,0.5982052511623305,0.8982052511623305,7.0,0,0,0
10786,2019-07-10 09:00:00+00:00,choch,bull,1.0,0.5298820085835214,0.8298820085835215,27.0,0,0,0
10817,2019-07-17 13:00:00+00:00,choch,bull,1.0,0.641011366078507,0.891011366078507,21.0,0,0,0
10837,2019-07-22 21:00:00+00:00,choch,bear,-1.0,0.34317139012072184,0.5431713901207219,1.0,0,1,1
10878,2019-07-31 17:00:00+00:00,choch,bear,-1.0,0.6108656102179909,0.910865610217991,14.0,0,0,0
10892,2019-08-05 01:00:00+00:00,choch,bull,1.0,0.30380388054059093,0.45380388054059095,0.0,1,1,1
10926,2019-08-12 17:00:00+00:00,choch,bull,1.0,0.258248994814403,0.558248994814403,1.0,0,1,1
10978,2019-08-23 09:00:00+00:00,choch,bull,1.0,0.4666444923126708,0.7666444923126708,51.0,0,0,0
9019,2019-09-03 05:00:00+00:00,choch,bull,1.0,0.37932477225911676,0.6793247722591168,35.0,0,0,0
9032,2019-09-05 09:00:00+00:00,choch,bear,-1.0,0.5640253375242216,0.7640253375242216,22.0,0,0,0
9061,2019-09-12 05:00:00+00:00,choch,bull,1.0,0.3763870384007828,0.6763870384007828,7.0,0,0,0
9069,2019-09-13 13:00:00+00:00,choch,bear,-1.0,0.5140379792299594,0.7140379792299595,15.0,0,0,0
9096,2019-09-20 01:00:00+00:00,choch,bull,1.0,0.3551663475282798,0.5551663475282799,1.0,0,1,1
9117,2019-09-25 13:00:00+00:00,choch,bear,-1.0,0.7227996558908346,1.0,12.0,0,0,0
9146,2019-10-02 09:00:00+00:00,choch,bull,1.0,0.5344377956850507,0.7344377956850507,17.0,0,0,0
9188,2019-10-11 09:00:00+00:00,choch,bear,-1.0,0.6070166676393811,0.7570166676393811,10.0,0,0,0
9254,2019-10-28 09:00:00+00:00,choch,bear,-1.0,0.7577885297183199,1.0,14.0,0,0,0
9268,2019-10-30 17:00:00+00:00,choch,bull,1.0,0.221910708228578,0.671910708228578,0.0,1,1,1
9346,2019-11-18 18:00:00+00:00,choch,bull,1.0,0.2490740660633366,0.4490740660633366,20.0,0,0,0
9382,2019-11-26 18:00:00+00:00,choch,bull,1.0,0.26054022950792766,0.6105402295079277,8.0,0,0,0
9397,2019-11-29 10:00:00+00:00,choch,bear,-1.0,0.3774612691419198,0.5274612691419198,7.0,0,0,0
9475,2019-12-18 10:00:00+00:00,choch,bear,-1.0,0.5387024533766839,0.7387024533766839,16.0,0,0,0
9491,2019-12-23 02:00:00+00:00,choch,bull,1.0,0.29007782456883113,0.6400778245688312,6.0,0,0,0
9619,2020-01-23 14:00:00+00:00,choch,bull,1.0,0.6152595450433618,0.9152595450433618,12.0,0,0,0
9706,2020-02-13 02:00:00+00:00,choch,bull,1.0,0.47373058140613267,0.6737305814061327,6.0,0,0,0
9772,2020-02-28 06:00:00+00:00,choch,bear,-1.0,0.25513735241358015,0.4051373524135802,2.0,0,0,1
9917,2020-04-02 09:00:00+00:00,choch,bull,1.0,0.4729610680154489,0.672961068015449,8.0,0,0,0
9994,2020-04-22 05:00:00+00:00,choch,bull,1.0,0.4487135126557904,0.6487135126557905,24.0,0,0,0
8033,2020-04-30 13:00:00+00:00,choch,bear,-1.0,0.5860000820495715,0.7860000820495716,3.0,0,0,0
8043,2020-05-04 05:00:00+00:00,choch,bull,1.0,0.396387729839796,0.596387729839796,12.0,0,0,0
8063,2020-05-07 13:00:00+00:00,choch,bull,1.0,0.6546155212365599,0.9546155212365599,8.0,0,0,0
8075,2020-05-11 13:00:00+00:00,choch,bear,-1.0,0.33180905089106416,0.5318090508910642,20.0,0,0,0
8121,2020-05-21 05:00:00+00:00,choch,bear,-1.0,0.5034669080765285,0.7034669080765286,2.0,0,0,1
8197,2020-06-09 01:00:00+00:00,choch,bull,1.0,0.20311990481568387,0.4031199048156839,23.0,0,0,0
8280,2020-06-28 21:00:00+00:00,choch,bull,1.0,0.30366987876382556,0.5536698787638256,2.0,0,0,1
8372,2020-07-20 09:00:00+00:00,choch,bull,1.0,0.36743627774937604,0.5174362777493761,18.0,0,0,0
8457,2020-08-07 13:00:00+00:00,choch,bear,-1.0,0.6853402332006613,0.8353402332006613,13.0,0,0,0
8505,2020-08-19 13:00:00+00:00,choch,bear,-1.0,0.41878248073644087,0.6187824807364409,7.0,0,0,0
8529,2020-08-25 13:00:00+00:00,choch,bear,-1.0,0.20401220641412884,0.35401220641412884,8.0,0,0,0
8535,2020-08-26 13:00:00+00:00,choch,bull,1.0,0.42419467545583256,0.8741946754558326,14.0,0,0,0
8564,2020-09-02 09:00:00+00:00,choch,bear,-1.0,0.615374108562194,1.0,43.0,0,0,0
8611,2020-09-14 09:00:00+00:00,choch,bull,1.0,0.5649899537728534,0.8649899537728535,0.0,1,1,1
8626,2020-09-16 21:00:00+00:00,choch,bear,-1.0,0.5501232347312996,0.7501232347312997,15.0,0,0,0
8651,2020-09-23 01:00:00+00:00,choch,bear,-1.0,0.5718660003873164,0.7218660003873164,9.0,0,0,0
8672,2020-09-28 13:00:00+00:00,choch,bull,1.0,0.40306802527625196,0.603068025276252,9.0,0,0,0
8709,2020-10-06 17:00:00+00:00,choch,bear,-1.0,0.8066543914369679,1.0,46.0,0,0,0
8735,2020-10-13 01:00:00+00:00,choch,bear,-1.0,0.21319338165061835,0.4131933816506183,43.0,0,0,0
8780,2020-10-22 13:00:00+00:00,choch,bear,-1.0,0.26837382468745746,0.5683738246874575,2.0,0,0,1
8803,2020-10-28 09:00:00+00:00,choch,bear,-1.0,0.8353132525789871,1.0,4.0,0,0,0
8935,2020-11-27 14:00:00+00:00,choch,bear,-1.0,0.46111249717376024,0.7611124971737603,11.0,0,0,0
