segment,component,variant,count,top_quartile_avg_r,top_decile_avg_r,bottom_decile_avg_r,top_quartile_win_rate,top_decile_win_rate,bottom_decile_win_rate,eqh_top_quartile_avg_r,eql_top_quartile_avg_r,eqh_top_quartile_win_rate,eql_top_quartile_win_rate,rank_corr,eqh_rank_corr,eql_rank_corr,win_rate_gap,variance_zero,stability_classification
eqh,formation_delay_component,neutralized,233,0.06609600629574258,0.06609600629574258,0.06609600629574258,0.463519313304721,0.463519313304721,0.463519313304721,0.06609600629574258,,0.463519313304721,,,,,0.0,False,degenerate
eqh,wick_ratio_component,current,233,0.1516038950290705,0.12401234033003639,-0.07700102262360665,0.4745762711864407,0.5,0.375,0.1516038950290705,,0.4745762711864407,,0.09586575577393941,0.09586575577393941,,0.09957627118644069,False,stable_positive
eqh,wick_ratio_component,inverted,233,-0.04117333217059119,-0.07700102262360665,0.12401234033003639,0.3898305084745763,0.375,0.5,-0.04117333217059119,,0.3898305084745763,,-0.09586575577393941,-0.09586575577393941,,-0.11016949152542371,False,stable_negative
eqh,wick_ratio_component,neutralized,233,0.06609600629574258,0.06609600629574258,0.06609600629574258,0.463519313304721,0.463519313304721,0.463519313304721,0.06609600629574258,,0.463519313304721,,,,,0.0,False,degenerate
eqh,atr_percentile_component,current,233,-0.06269909899257047,-0.21157591862863426,0.2930986930674427,0.4166666666666667,0.4,0.48,-0.06269909899257047,,0.4166666666666667,,-0.07005093343020166,-0.07005093343020166,,-0.0633333333333333,False,stable_positive
eqh,atr_percentile_component,inverted,233,0.33110132076310284,0.2930986930674427,-0.21157591862863426,0.532258064516129,0.48,0.4,0.33110132076310284,,0.532258064516129,,0.07005093343020166,0.07005093343020166,,0.13225806451612898,False,stable_negative
eqh,atr_percentile_component,neutralized,233,0.06609600629574258,0.06609600629574258,0.06609600629574258,0.463519313304721,0.463519313304721,0.463519313304721,0.06609600629574258,,0.463519313304721,,,,,0.0,False,degenerate
eqh,distance_at_detect_component,current,233,0.1219827848565957,0.5911910141284966,-0.009859951156187504,0.5084745762711864,0.7083333333333334,0.4583333333333333,0.1219827848565957,,0.5084745762711864,,0.07094091053131289,0.07094091053131289,,0.0501412429378531,False,stable_positive
eqh,distance_at_detect_component,inverted,233,0.1900191207304734,-0.009859951156187504,0.5911910141284966,0.4576271186440678,0.4583333333333333,0.7083333333333334,0.1900191207304734,,0.4576271186440678,,-0.07094091053131289,-0.07094091053131289,,-0.25070621468926557,False,stable_negative
eqh,distance_at_detect_component,neutralized,233,0.06609600629574258,0.06609600629574258,0.06609600629574258,0.463519313304721,0.463519313304721,0.463519313304721,0.06609600629574258,,0.463519313304721,,,,,0.0,False,degenerate
eql,width_component,current,233,-0.019103771045199558,-0.035160118224391995,0.43311610633672176,0.423728813559322,0.4583333333333333,0.46808510638297873,,-0.019103771045199558,,0.423728813559322,-0.028978988366689957,,-0.028978988366689957,-0.04435629282365672,False,stable_negative
eql,width_component,inverted,233,0.4392889318718324,0.43311610633672176,-0.035160118224391995,0.4745762711864407,0.46808510638297873,0.4583333333333333,,0.4392889318718324,,0.4745762711864407,0.028978988366689957,,0.028978988366689957,0.016242937853107375,False,stable_positive
eql,width_component,neutralized,233,0.15516437182708398,0.15516437182708398,0.15516437182708398,0.45493562231759654,0.45493562231759654,0.45493562231759654,,0.15516437182708398,,0.45493562231759654,,,,0.0,False,degenerate
eql,formation_delay_component,current,233,0.3706067844740675,0.5140018306409034,0.215141260790739,0.5238095238095238,0.5384615384615384,0.4117647058823529,,0.3706067844740675,,0.5238095238095238,0.09774539691417478,,0.09774539691417478,0.11204481792717091,False,stable_positive
eql,formation_delay_component,inverted,233,0.23994265340704202,0.215141260790739,0.5140018306409034,0.5,0.4117647058823529,0.5384615384615384,,0.23994265340704202,,0.5,-0.09774539691417478,,-0.09774539691417478,-0.038461538461538436,False,stable_negative
eql,formation_delay_component,neutralized,233,0.15516437182708398,0.15516437182708398,0.15516437182708398,0.45493562231759654,0.45493562231759654,0.45493562231759654,,0.15516437182708398,,0.45493562231759654,,,,0.0,False,degenerate
eql,wick_ratio_component,current,233,0.25289158249724064,0.3399595528493758,0.014557465870041808,0.5254237288135594,0.5,0.375,,0.25289158249724064,,0.5254237288135594,0.07936252046985624,,0.07936252046985624,0.15042372881355937,False,stable_positive
eql,wick_ratio_component,inverted,233,-0.13590540442197913,0.014557465870041808,0.3399595528493758,0.3559322033898305,0.375,0.5,,-0.13590540442197913,,0.3559322033898305,-0.07936252046985624,,-0.07936252046985624,-0.1440677966101695,False,stable_negative
eql,wick_ratio_component,neutralized,233,0.15516437182708398,0.15516437182708398,0.15516437182708398,0.45493562231759654,0.45493562231759654,0.45493562231759654,,0.15516437182708398,,0.45493562231759654,,,,0.0,False,degenerate
eql,atr_percentile_component,current,233,0.37615752587119433,0.21074861598361908,-0.167430896208887,0.559322033898305,0.5384615384615384,0.2413793103448276,,0.37615752587119433,,0.559322033898305,0.1529238708446836,,0.1529238708446836,0.3179427235534774,False,stable_positive
eql,atr_percentile_component,inverted,233,-0.20082692701602947,-0.167430896208887,0.21074861598361908,0.288135593220339,0.2413793103448276,0.5384615384615384,,-0.20082692701602947,,0.288135593220339,-0.1529238708446836,,-0.1529238708446836,-0.25032594524119944,False,stable_negative
eql,atr_percentile_component,neutralized,233,0.15516437182708398,0.15516437182708398,0.15516437182708398,0.45493562231759654,0.45493562231759654,0.45493562231759654,,0.15516437182708398,,0.45493562231759654,,,,0.0,False,degenerate
eql,distance_at_detect_component,current,233,0.25386881842373665,0.5055724667422351,0.30708075281249797,0.4915254237288136,0.5833333333333334,0.5416666666666666,,0.25386881842373665,,0.4915254237288136,0.03511648580426079,,0.03511648580426079,-0.05014124293785305,False,stable_positive
eql,distance_at_detect_component,inverted,233,0.24779097699571576,0.30708075281249797,0.5055724667422351,0.5084745762711864,0.5416666666666666,0.5833333333333334,,0.24779097699571576,,0.5084745762711864,-0.03511648580426079,,-0.03511648580426079,-0.07485875706214695,False,stable_negative
eql,distance_at_detect_component,neutralized,233,0.15516437182708398,0.15516437182708398,0.15516437182708398,0.45493562231759654,0.45493562231759654,0.45493562231759654,,0.15516437182708398,,0.45493562231759654,,,,0.0,False,degenerate
2-touch,width_component,current,459,-0.016855746123986274,-0.1634120259379865,0.2480822045026349,0.4434782608695652,0.43478260869565216,0.47126436781609193,0.04129644693223299,-0.066566491801077,0.49056603773584906,0.4032258064516129,-0.02393583628596486,-0.031533768154798546,-0.02114735991586917,-0.027786106946526723,False,stable_negative
2-touch,width_component,inverted,459,0.25002337108375494,0.2480822045026349,-0.1634120259379865,0.46956521739130436,0.47126436781609193,0.43478260869565216,0.039315540202163664,0.46442783057730386,0.4482758620689655,0.49122807017543857,0.02393583628596486,0.031533768154798546,0.02114735991586917,0.034782608695652195,False,stable_positive
