ob_id,side_label,activate_idx,fresh_state_duration,touched_state_duration,partial_state_duration,post_full_pre_terminal_duration,total_live_duration,bars_to_invalidation,bars_to_retirement,terminal_state
253,bull,12754,8.0,0.0,0.0,0.0,8.0,,,mitigated_full
254,bear,12783,96.0,0.0,0.0,0.0,96.0,,96.0,retired
255,bull,12895,54.0,0.0,1.0,0.0,55.0,,,mitigated_full
256,bull,12922,9.0,0.0,0.0,0.0,9.0,,,mitigated_full
257,bear,13034,38.0,0.0,2.0,0.0,40.0,40.0,,invalidated
258,bear,13039,8.0,0.0,1.0,0.0,9.0,,,mitigated_full
259,bull,13081,6.0,0.0,0.0,0.0,6.0,6.0,,invalidated
260,bear,13112,10.0,0.0,1.0,0.0,11.0,11.0,,invalidated
261,bull,13184,19.0,0.0,33.0,0.0,52.0,52.0,,invalidated
262,bear,13244,9.0,0.0,87.0,0.0,96.0,,96.0,retired
263,bull,13374,9.0,0.0,1.0,0.0,10.0,,,mitigated_full
264,bear,13448,96.0,0.0,0.0,0.0,96.0,,96.0,retired
265,bear,13506,2.0,0.0,20.0,0.0,22.0,,,mitigated_full
266,bear,13609,29.0,0.0,8.0,0.0,37.0,37.0,,invalidated
267,bear,13616,5.0,0.0,6.0,0.0,11.0,11.0,,invalidated
268,bear,13626,1.0,0.0,0.0,0.0,1.0,1.0,,invalidated
269,bull,13637,56.0,0.0,0.0,0.0,56.0,,,mitigated_full
270,bear,13673,96.0,0.0,0.0,0.0,96.0,,96.0,retired
271,bear,13727,2.0,0.0,0.0,0.0,2.0,2.0,,invalidated
272,bear,13740,1.0,0.0,0.0,0.0,1.0,1.0,,invalidated
273,bull,13814,96.0,0.0,0.0,0.0,96.0,,96.0,retired
274,bear,13850,47.0,0.0,2.0,0.0,49.0,49.0,,invalidated
275,bull,13912,2.0,0.0,2.0,0.0,4.0,4.0,,invalidated
276,bull,14032,6.0,0.0,2.0,0.0,8.0,,,mitigated_full
277,bull,14074,1.0,0.0,90.0,0.0,91.0,91.0,,invalidated
278,bear,14219,1.0,0.0,0.0,0.0,1.0,,,mitigated_full
279,bull,14315,96.0,0.0,0.0,0.0,96.0,,96.0,retired
280,bull,14334,96.0,0.0,0.0,0.0,96.0,,96.0,retired
281,bull,14419,18.0,0.0,40.0,0.0,58.0,58.0,,invalidated
282,bull,14454,6.0,0.0,1.0,0.0,7.0,7.0,,invalidated
283,bull,14533,65.0,0.0,0.0,0.0,65.0,65.0,,invalidated
284,bull,14539,1.0,0.0,10.0,0.0,11.0,11.0,,invalidated
285,bear,14593,96.0,0.0,0.0,0.0,96.0,,96.0,retired
286,bear,14604,7.0,0.0,17.0,0.0,24.0,,,mitigated_full
287,bear,14713,5.0,0.0,12.0,0.0,17.0,,,mitigated_full
288,bear,14721,3.0,0.0,3.0,0.0,6.0,,,mitigated_full
289,bear,14742,96.0,0.0,0.0,0.0,96.0,,,mitigated_full
290,bear,14773,23.0,0.0,1.0,0.0,24.0,,,mitigated_full
291,bear,14777,14.0,0.0,0.0,0.0,14.0,14.0,,invalidated
292,bull,14796,14.0,0.0,4.0,0.0,18.0,,,mitigated_full
293,bull,14831,96.0,0.0,0.0,0.0,96.0,,96.0,retired
294,bear,14888,1.0,0.0,6.0,0.0,7.0,,,mitigated_full
295,bear,14904,12.0,0.0,84.0,0.0,96.0,,96.0,retired
296,bear,14959,5.0,0.0,79.0,0.0,84.0,84.0,,invalidated
297,bear,14965,5.0,0.0,73.0,0.0,78.0,78.0,,invalidated
298,bear,14976,1.0,0.0,41.0,0.0,42.0,42.0,,invalidated
299,bear,14990,27.0,0.0,1.0,0.0,28.0,28.0,,invalidated
300,bear,14995,5.0,0.0,11.0,0.0,16.0,,,mitigated_full
301,bull,15018,96.0,0.0,0.0,0.0,96.0,,96.0,retired
302,bull,15043,32.0,0.0,27.0,0.0,59.0,59.0,,invalidated
303,bear,15071,61.0,0.0,6.0,0.0,67.0,67.0,,invalidated
304,bear,15079,8.0,0.0,4.0,0.0,12.0,,,mitigated_full
305,bear,15175,5.0,0.0,0.0,0.0,5.0,,,mitigated_full
306,bear,15181,46.0,0.0,1.0,0.0,47.0,,,mitigated_full
307,bull,15218,96.0,0.0,0.0,0.0,96.0,,96.0,retired
308,bull,15227,96.0,0.0,0.0,0.0,96.0,,96.0,retired
309,bull,15239,96.0,0.0,0.0,0.0,96.0,,96.0,retired
310,bull,15265,86.0,0.0,3.0,0.0,89.0,,,mitigated_full
311,bear,15350,6.0,0.0,17.0,0.0,23.0,,,mitigated_full
312,bear,15361,12.0,0.0,0.0,0.0,12.0,12.0,,invalidated
313,bull,15385,12.0,0.0,84.0,0.0,96.0,,96.0,retired
314,bull,15390,1.0,0.0,0.0,0.0,1.0,1.0,,invalidated
315,bear,15613,2.0,0.0,0.0,0.0,2.0,,,mitigated_full
316,bear,15634,1.0,0.0,13.0,0.0,14.0,,,mitigated_full
317,bull,15690,1.0,0.0,0.0,0.0,1.0,,,mitigated_full
318,bull,15696,2.0,0.0,0.0,0.0,2.0,,,mitigated_full
319,bear,15750,29.0,0.0,1.0,0.0,30.0,30.0,,invalidated
320,bull,15771,4.0,0.0,92.0,0.0,96.0,,96.0,retired
321,bull,15779,17.0,0.0,79.0,0.0,96.0,,96.0,retired
322,bull,15827,1.0,0.0,95.0,0.0,96.0,,96.0,retired
323,bull,15834,96.0,0.0,0.0,0.0,96.0,,96.0,retired
324,bull,15846,96.0,0.0,0.0,0.0,96.0,,96.0,retired
325,bull,15962,5.0,0.0,91.0,0.0,96.0,,96.0,retired
326,bull,15984,7.0,0.0,0.0,0.0,7.0,,,mitigated_full
327,bull,15999,6.0,0.0,5.0,0.0,11.0,,,mitigated_full
328,bull,16118,96.0,0.0,0.0,0.0,96.0,,96.0,retired
329,bull,16142,32.0,0.0,3.0,0.0,35.0,,,mitigated_full
330,bull,16153,20.0,0.0,0.0,0.0,20.0,,,mitigated_full
331,bear,16172,96.0,0.0,0.0,0.0,96.0,,96.0,retired
332,bull,16350,96.0,0.0,0.0,0.0,96.0,,96.0,retired
