row_idx,timestamp,active_ob_count,fresh_ob_count,nearest_active_distance_atr,nearest_fresh_distance_atr,best_active_monitorability_score,best_fresh_monitorability_score,top_k_active_ids_by_monitorability,top_k_fresh_ids_by_monitorability,active_bull_count,active_bear_count,fresh_bull_count,fresh_bear_count,nearest_monitorable_bull_ob_distance_atr,nearest_monitorable_bear_ob_distance_atr,best_bull_ob_score,best_bear_ob_score,any_monitorable_ob_within_1atr,any_monitorable_ob_within_2atr
202,2014-02-18 23:00:00+00:00,3,2,4.308995616814618,4.308995616814618,0.5362810523913449,0.5362810523913449,"2,4,3","2,4",3,0,2,0,4.308995616814618,,0.5362810523913449,,0,0
203,2014-02-19 03:00:00+00:00,3,2,4.283230541053904,4.283230541053904,0.5340665146829321,0.5340665146829321,"2,4,3","2,4",3,0,2,0,4.283230541053904,,0.5340665146829321,,0,0
204,2014-02-19 07:00:00+00:00,3,2,4.52874171394926,4.52874171394926,0.5308518154354563,0.5308518154354563,"2,4,3","2,4",3,0,2,0,4.52874171394926,,0.5308518154354563,,0,0
205,2014-02-19 11:00:00+00:00,3,2,4.843772878536649,4.843772878536649,0.527685719847361,0.527685719847361,"2,4,3","2,4",3,0,2,0,4.843772878536649,,0.527685719847361,,0,0
206,2014-02-19 15:00:00+00:00,3,2,4.6978782066106355,4.6978782066106355,0.525961411957255,0.525961411957255,"2,4,3","2,4",3,0,2,0,4.6978782066106355,,0.525961411957255,,0,0
207,2014-02-19 19:00:00+00:00,3,2,2.8591910348665293,2.8591910348665293,0.5331802390265532,0.5331802390265532,"2,4,3","2,4",3,0,2,0,2.8591910348665293,,0.5331802390265532,,0,0
208,2014-02-19 23:00:00+00:00,3,2,3.22390423373635,3.22390423373635,0.5291411240635275,0.5291411240635275,"2,4,3","2,4",3,0,2,0,3.22390423373635,,0.5291411240635275,,0,0
209,2014-02-20 03:00:00+00:00,3,2,3.5077525281362867,3.5077525281362867,0.5256365101400929,0.5256365101400929,"2,4,3","2,4",3,0,2,0,3.5077525281362867,,0.5256365101400929,,0,0
210,2014-02-20 07:00:00+00:00,3,2,3.5766541854377025,3.5766541854377025,0.5230219695285045,0.5230219695285045,"2,4,3","2,4",3,0,2,0,3.5766541854377025,,0.5230219695285045,,0,0
211,2014-02-20 11:00:00+00:00,3,2,3.5464570712451873,3.5464570712451873,0.5221048769472731,0.5221048769472731,"2,4,3","2,4",3,0,2,0,3.5464570712451873,,0.5221048769472731,,0,0
212,2014-02-20 15:00:00+00:00,3,2,4.093918401587385,4.093918401587385,0.5177177043458894,0.5177177043458894,"2,4,3","2,4",3,0,2,0,4.093918401587385,,0.5177177043458894,,0,0
213,2014-02-20 19:00:00+00:00,3,2,4.7141594269659315,4.7141594269659315,0.5138313611223951,0.5138313611223951,"2,4,3","2,4",3,0,2,0,4.7141594269659315,,0.5138313611223951,,0,0
214,2014-02-20 23:00:00+00:00,3,2,4.446658351641377,4.446658351641377,0.5129318466476649,0.5129318466476649,"2,4,3","2,4",3,0,2,0,4.446658351641377,,0.5129318466476649,,0,0
215,2014-02-21 03:00:00+00:00,3,2,4.371626228704156,4.371626228704156,0.5113222678062999,0.5113222678062999,"2,4,3","2,4",3,0,2,0,4.371626228704156,,0.5113222678062999,,0,0
216,2014-02-21 07:00:00+00:00,3,2,4.778858842321002,4.778858842321002,0.5080249219988974,0.5080249219988974,"2,4,3","2,4",3,0,2,0,4.778858842321002,,0.5080249219988974,,0,0
