scope_type,scope_value,policy,sample_count,fill_rate,missed_trade_rate,win_rate_1r,win_rate_2r,win_rate_3r,expectancy_r,average_mae_r,average_mfe_r,median_mae_r,median_mfe_r,time_to_target_1r,time_to_stop,entry_improvement_atr,stop_compression_improvement_atr
year,2024,ob_first_touch,46,0.8478260869565217,0.15217391304347827,0.3695652173913043,0.2391304347826087,0.21739130434782608,-0.07692307692307693,1.6092993934146838,1.5435437069495639,1.239855725879188,0.38805328749461004,1.0,1.0,0.9652539753949736,0.9652539753949736
year,2024,ob_mean_threshold,46,0.8043478260869565,0.1956521739130435,0.41304347826086957,0.2826086956521739,0.2608695652173913,-0.02702702702702703,2.374330592070736,2.552908076870005,1.4942638623326578,1.0300816501934127,1.0,1.0,1.2453958202116064,1.2453958202116064
year,2025,bos_close,56,1.0,0.0,0.5714285714285714,0.35714285714285715,0.25,0.2845271838002831,0.9365692641406456,1.5356421101745918,1.0229811423475659,1.3236400183217323,5.0,7.0,0.0,0.0
year,2025,ob_body_entry,56,0.7678571428571429,0.23214285714285715,0.5892857142857143,0.42857142857142855,0.32142857142857145,0.5813953488372093,1.6464539452453002,4.745792408761762,1.1885649375236498,2.2212389380532187,1.0,1.0,1.1158841771095216,1.1158841771095216
year,2025,ob_first_touch,56,0.8392857142857143,0.16071428571428573,0.39285714285714285,0.3392857142857143,0.32142857142857145,0.4724152091102422,1.2622855485828126,2.1274016621112333,1.1483188720173476,0.8091451292246955,1.0,1.0,0.9382307326443275,0.9382307326443275
year,2025,ob_mean_threshold,56,0.75,0.25,0.5357142857142857,0.375,0.25,0.14285714285714285,2.049778554243898,3.5754159635039198,1.428253609773207,2.0025083813489952,1.0,1.0,1.1115707124542102,1.1115707124542102
year,2026,bos_close,9,1.0,0.0,0.7777777777777778,0.5555555555555556,0.4444444444444444,1.101098860606927,0.6548158217404523,2.2965163721824395,0.4683913281107656,2.1092083156211427,4.0,5.0,0.0,0.0
year,2026,ob_body_entry,9,0.8888888888888888,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,6.215351582844403,3.9653916269768,0.7180046066954864,4.154221404368928,1.0,2.5,1.6530202127512206,1.6530202127512206
year,2026,ob_first_touch,9,0.8888888888888888,0.1111111111111111,0.6666666666666666,0.4444444444444444,0.3333333333333333,0.23385143719231344,4.879726854741606,2.2902955727868646,1.293989416873238,2.1324704291874292,1.0,2.0,1.3395677660940108,1.3395677660940108
year,2026,ob_mean_threshold,9,0.8888888888888888,0.1111111111111111,0.6666666666666666,0.5555555555555556,0.5555555555555556,1.0,7.965914682599294,4.0848049140354465,0.8108810402489861,3.2617691381188934,1.0,1.5,1.741384112407867,1.741384112407867
