event_idx,timestamp,event_type,event_side,event_direction,quality_score,tradeable_score,nearest_displacement_distance,displacement_same_bar,displacement_pm1,displacement_pm2
13145,2017-02-28 22:00:00+00:00,bos,bear,-1.0,0.3000803236089806,0.6000803236089807,11.0,0,0,0
13155,2017-03-02 14:00:00+00:00,bos,bear,-1.0,0.31290246392380155,0.5129024639238016,1.0,0,1,1
13158,2017-03-03 02:00:00+00:00,bos,bear,-1.0,0.23137396671337457,0.2813739667133745,1.0,0,1,1
13172,2017-03-07 10:00:00+00:00,bos,bear,-1.0,0.18248496446452497,0.38248496446452496,2.0,0,0,1
13177,2017-03-08 06:00:00+00:00,bos,bear,-1.0,0.31249496916546593,0.36249496916546603,1.0,0,1,1
13186,2017-03-09 18:00:00+00:00,bos,bear,-1.0,0.27151358146391275,0.4715135814639127,10.0,0,0,0
13204,2017-03-14 17:00:00+00:00,bos,bear,-1.0,0.34867723229506387,0.39867723229506397,28.0,0,0,0
13238,2017-03-22 09:00:00+00:00,bos,bull,1.0,0.40769880252392127,0.5076988025239213,40.0,0,0,0
13275,2017-03-30 13:00:00+00:00,bos,bear,-1.0,0.2526664165214743,0.45266641652147427,3.0,0,0,0
13307,2017-04-06 21:00:00+00:00,bos,bull,1.0,0.6578562794067044,0.8078562794067045,1.0,0,1,1
13330,2017-04-12 17:00:00+00:00,bos,bull,1.0,0.7011126918582626,0.8511126918582627,4.0,0,0,0
13337,2017-04-16 21:00:00+00:00,bos,bull,1.0,0.234230345231615,0.284230345231615,6.0,0,0,0
13352,2017-04-19 09:00:00+00:00,bos,bear,-1.0,0.19688051286820984,0.24688051286820983,5.0,0,0,0
13377,2017-04-25 13:00:00+00:00,bos,bear,-1.0,0.3367532691418548,0.5367532691418548,3.0,0,0,0
13412,2017-05-03 09:00:00+00:00,bos,bear,-1.0,0.2310991149097263,0.48109911490972623,16.0,0,0,0
13418,2017-05-04 09:00:00+00:00,bos,bear,-1.0,0.6347590686660383,0.8347590686660383,10.0,0,0,0
13453,2017-05-12 05:00:00+00:00,bos,bull,1.0,0.33972964512115417,0.48972964512115424,2.0,0,0,1
13460,2017-05-15 09:00:00+00:00,bos,bull,1.0,0.16292199744991367,0.36292199744991366,3.0,0,0,0
13467,2017-05-16 13:00:00+00:00,bos,bull,1.0,0.38883377884493653,0.43883377884493663,3.0,0,0,0
13470,2017-05-17 01:00:00+00:00,bos,bull,1.0,0.26499646946634287,0.3149964694663428,0.0,1,1,1
13522,2017-05-29 21:00:00+00:00,bos,bull,1.0,0.27340778288112627,0.5234077828811262,13.0,0,0,0
13532,2017-05-31 13:00:00+00:00,bos,bull,1.0,0.4230219629671271,0.4730219629671271,3.0,0,0,0
13553,2017-06-06 01:00:00+00:00,bos,bull,1.0,0.48666164853892996,0.58666164853893,6.0,0,0,0
13573,2017-06-09 09:00:00+00:00,bos,bear,-1.0,0.4803975286423205,0.5303975286423205,4.0,0,0,0
13585,2017-06-13 09:00:00+00:00,bos,bear,-1.0,0.11108769223753076,0.16108769223753072,1.0,0,1,1
13609,2017-06-19 09:00:00+00:00,bos,bear,-1.0,0.4038103601587007,0.45381036015870074,7.0,0,0,0
13615,2017-06-20 09:00:00+00:00,bos,bear,-1.0,0.32715208224406117,0.5271520822440612,13.0,0,0,0
13632,2017-06-23 05:00:00+00:00,bos,bull,1.0,0.3802257516092276,0.43022575160922766,0.0,1,1,1
13666,2017-07-02 21:00:00+00:00,bos,bear,-1.0,0.330779502388493,0.530779502388493,7.0,0,0,0
13707,2017-07-11 21:00:00+00:00,bos,bull,1.0,0.23317990363964472,0.2831799036396447,15.0,0,0,0
13728,2017-07-17 09:00:00+00:00,bos,bull,1.0,0.48446976349135457,0.5344697634913546,1.0,0,1,1
13733,2017-07-18 05:00:00+00:00,bos,bull,1.0,0.13696263617837556,0.18696263617837555,1.0,0,1,1
13751,2017-07-21 05:00:00+00:00,bos,bull,1.0,0.31217009393565326,0.41217009393565335,17.0,0,0,0
13782,2017-07-28 09:00:00+00:00,bos,bull,1.0,0.3836235161507818,0.5836235161507818,12.0,0,0,0
13804,2017-08-03 01:00:00+00:00,bos,bear,-1.0,0.1627089269662999,0.3627089269662999,10.0,0,0,0
13871,2017-08-18 05:00:00+00:00,bos,bull,1.0,0.5063633454302329,0.7063633454302329,23.0,0,0,0
13923,2017-08-30 21:00:00+00:00,bos,bear,-1.0,0.27520504257643896,0.475205042576439,2.0,0,0,1
13935,2017-09-03 21:00:00+00:00,bos,bull,1.0,0.3612124171643491,0.5612124171643491,10.0,0,0,0
13997,2017-09-18 09:00:00+00:00,bos,bear,-1.0,0.25920572331395697,0.35920572331395695,31.0,0,0,0
12061,2017-10-02 21:00:00+00:00,bos,bear,-1.0,0.20811678013486418,0.2581167801348641,12.0,0,0,0
12082,2017-10-06 09:00:00+00:00,bos,bear,-1.0,0.6639175457533751,0.9639175457533752,9.0,0,0,0
12091,2017-10-09 21:00:00+00:00,bos,bull,1.0,0.15380861398829698,0.20380861398829692,18.0,0,0,0
12112,2017-10-13 09:00:00+00:00,bos,bull,1.0,0.5387437254811873,0.7387437254811874,15.0,0,0,0
12167,2017-10-26 13:00:00+00:00,bos,bear,-1.0,0.5053928569252327,0.5553928569252328,21.0,0,0,0
12179,2017-10-30 13:00:00+00:00,bos,bull,1.0,0.27594229477616466,0.5259422947761646,15.0,0,0,0
12244,2017-11-14 10:00:00+00:00,bos,bear,-1.0,0.21860216549316017,0.3186021654931601,4.0,0,0,0
12280,2017-11-22 10:00:00+00:00,bos,bull,1.0,0.24830745681695576,0.34830745681695574,2.0,0,0,1
12309,2017-11-29 10:00:00+00:00,bos,bear,-1.0,0.4968980633882067,0.7468980633882067,31.0,0,0,0
12334,2017-12-05 14:00:00+00:00,bos,bear,-1.0,0.6554473117331299,0.8554473117331299,9.0,0,0,0
