range_id,confirm_age_until_first_material_mismatch,bars_until_active_box_looks_stale,post_confirm_boundary_pressure,post_confirm_internal_containment_decay,post_confirm_relevance_decay,failure_classification,frozen_chart_faithfulness_score,recompute_chart_faithfulness_score,bounded_refresh_chart_faithfulness_score,frozen_visual_plausibility_score,recompute_visual_plausibility_score,bounded_refresh_visual_plausibility_score,frozen_source_coherence_score,recompute_source_coherence_score,bounded_refresh_source_coherence_score
80,5.0,2.0,0.41306629538396883,0.0,0.1988999999999995,active_box_remained_truthful,0.602200000000001,0.946333333333329,0.946333333333329,0.8674000000000003,0.9197592592592585,0.9197592592592585,1.0,0.8129444444444466,0.8129444444444466
81,1.0,1.0,0.8329297820823232,0.5,0.4760833333333304,confirm_too_late,0.5478333333333392,0.5478333333333392,0.5478333333333392,0.6826111111111132,0.6826111111111132,0.6826111111111132,1.0,1.0,1.0
83,11.0,11.0,0.3540291153157605,0.0,0.13179411764706758,active_box_remained_truthful,0.7364117647058648,0.9691568627450963,0.9691568627450963,0.912137254901955,0.9773022875816987,0.9773022875816987,1.0,0.9627499999999998,0.9627499999999998
85,2.0,2.0,0.36001233711157415,0.33333333333333337,0.33961111111111425,confirm_too_late,0.6541111111111049,0.6541111111111049,0.6541111111111049,0.7735925925925905,0.7735925925925905,0.7735925925925905,1.0,1.0,1.0
86,3.0,1.0,0.49717740000958016,0.0,0.19957142857141383,lineage_fragmentation,0.6008571428571723,0.9229523809523839,0.9229523809523839,0.8669523809523908,0.9103452380952423,0.9103452380952423,1.0,0.808083333333343,0.808083333333343
87,8.0,8.0,0.32425465909350837,0.11111111111111116,0.13403703703704234,active_box_remained_truthful,0.8430370370370265,0.8637037037037097,0.8637037037037097,0.9106419753086384,0.9155933641975312,0.9155933641975312,1.0,0.9941874999999953,0.9941874999999953
88,2.0,2.0,0.5046871593634314,0.33333333333333337,0.4691111111111089,confirm_too_late,0.3951111111111155,0.3951111111111155,0.3951111111111155,0.6872592592592607,0.6872592592592607,0.6872592592592607,1.0,1.0,1.0
89,3.0,3.0,0.4315591457342122,0.25,0.5101666666666631,lineage_fragmentation,0.2296666666666738,1.0,0.2296666666666738,0.6598888888888913,0.6666666666666666,0.6598888888888913,1.0,0.0,1.0
90,1.0,1.0,0.5690330669174015,0.5,0.8239999999999933,confirm_too_early,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0
91,2.0,2.0,0.7691750278706891,0.33333333333333337,1.092277777777781,confirm_too_early,0.0,0.0,0.0,0.5555555555555555,0.5555555555555555,0.5555555555555555,1.0,1.0,1.0
92,2.0,2.0,0.42852939012727953,0.0,0.056166666666664845,lineage_fragmentation,0.8876666666666703,0.8876666666666703,0.8876666666666703,0.9625555555555567,0.9625555555555567,0.9625555555555567,1.0,1.0,1.0
93,1.0,1.0,0.524860947244195,0.5,0.877083333333322,confirm_too_early,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0
94,4.0,4.0,0.4519696969697035,0.19999999999999996,0.34530000000000505,active_box_remained_truthful,0.5093999999999899,0.5504666666666556,0.5504666666666556,0.7697999999999966,0.7706555555555522,0.7706555555555522,1.0,0.9615000000000009,0.9615000000000009
95,3.0,3.0,0.33340180772389405,0.25,0.6996250000000069,active_box_remained_truthful,0.0,0.9011666666666542,0.0,0.5833333333333334,0.6337222222222181,0.5833333333333334,1.0,0.0,1.0
96,1.0,1.0,0.8203125000000034,0.5,1.11175000000001,confirm_too_early,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0
97,3.0,2.0,0.5223548710471155,0.19999999999999996,0.46536666666666704,active_box_remained_truthful,0.2692666666666659,0.7598000000000108,0.7598000000000108,0.6897555555555552,0.6999749999999999,0.6999749999999999,1.0,0.5401249999999891,0.5401249999999891
98,1.0,1.0,0.8545686427778054,0.5,0.7423333333333442,confirm_too_late,0.015333333333311772,0.015333333333311772,0.015333333333311772,0.5051111111111038,0.5051111111111038,0.5051111111111038,1.0,1.0,1.0
99,1.0,1.0,0.3896285970646672,0.0625,0.6594791666666685,active_box_remained_truthful,0.0,0.727333333333334,0.21281250000000307,0.6458333333333334,0.5549444444444447,0.5753708333333356,1.0,0.0,0.6383000000000039
101,8.0,5.0,0.5218156052610978,0.11111111111111116,0.5292962962962984,active_box_remained_truthful,0.05251851851851452,0.15992592592592525,0.15992592592592525,0.6471358024691344,0.6635632716049367,0.6635632716049367,1.0,0.941874999999996,0.941874999999996
