row_idx,timestamp,bull_active_member_count,bull_untouched_count,bull_touched_only_count,bull_partial_fill_count,bull_any_fill_count,bull_max_fill_pct,bull_mean_fill_pct_active_members,bull_historical_untouched_count,bull_historical_touched_only_count,bull_historical_partial_fill_count,bull_historical_max_fill_pct,bull_historical_mean_fill_pct_active_members,bear_active_member_count,bear_untouched_count,bear_touched_only_count,bear_partial_fill_count,bear_any_fill_count,bear_max_fill_pct,bear_mean_fill_pct_active_members,bear_historical_untouched_count,bear_historical_touched_only_count,bear_historical_partial_fill_count,bear_historical_max_fill_pct,bear_historical_mean_fill_pct_active_members,total_active_member_count,total_partial_fill_count,total_touched_only_count,total_untouched_count,total_historical_partial_fill_count
17803,2026-02-01 22:00:00+00:00,0,0,0,0,0,,,0,0,0,,,3,3,0,0,0,0.0,0.0,2,0,1,0.5579944289693585,0.18599814298978615,3,0,0,3,1
17804,2026-02-02 02:00:00+00:00,0,0,0,0,0,,,0,0,0,,,3,3,0,0,0,0.0,0.0,2,0,1,0.5579944289693585,0.18599814298978615,3,0,0,3,1
17805,2026-02-02 06:00:00+00:00,0,0,0,0,0,,,0,0,0,,,3,3,0,0,0,0.0,0.0,2,0,1,0.5579944289693585,0.18599814298978615,3,0,0,3,1
17806,2026-02-02 10:00:00+00:00,0,0,0,0,0,,,0,0,0,,,3,3,0,0,0,0.0,0.0,2,0,1,0.5579944289693585,0.18599814298978615,3,0,0,3,1
17807,2026-02-02 14:00:00+00:00,0,0,0,0,0,,,0,0,0,,,3,3,0,0,0,0.0,0.0,2,0,1,0.5579944289693585,0.18599814298978615,3,0,0,3,1
17808,2026-02-02 18:00:00+00:00,0,0,0,0,0,,,0,0,0,,,3,3,0,0,0,0.0,0.0,2,0,1,0.5579944289693585,0.18599814298978615,3,0,0,3,1
17809,2026-02-02 22:00:00+00:00,0,0,0,0,0,,,0,0,0,,,3,3,0,0,0,0.0,0.0,2,0,1,0.5579944289693585,0.18599814298978615,3,0,0,3,1
17810,2026-02-03 02:00:00+00:00,1,1,0,0,0,0.0,0.0,1,0,0,0.0,0.0,3,3,0,0,0,0.0,0.0,2,0,1,0.5579944289693585,0.18599814298978615,4,0,0,4,1
17811,2026-02-03 06:00:00+00:00,1,1,0,0,0,0.0,0.0,1,0,0,0.0,0.0,3,2,0,1,1,0.039151528827723395,0.013050509609241132,1,0,2,0.5579944289693585,0.1990486525990273,4,1,0,3,2
17812,2026-02-03 10:00:00+00:00,2,2,0,0,0,0.0,0.0,2,0,0,0.0,0.0,3,2,0,1,1,0.06668171048177578,0.022227236827258592,1,0,2,0.5579944289693585,0.20822537981704473,5,1,0,4,2
17813,2026-02-03 14:00:00+00:00,2,2,0,0,0,0.0,0.0,2,0,0,0.0,0.0,2,2,0,0,0,0.0,0.0,1,0,1,0.5579944289693585,0.27899721448467923,4,0,0,4,1
17814,2026-02-03 18:00:00+00:00,2,1,0,1,1,0.07607391408687467,0.03803695704343733,1,0,1,0.07607391408687467,0.03803695704343733,2,2,0,0,0,0.0,0.0,1,0,1,0.5579944289693585,0.27899721448467923,4,1,0,3,2
17815,2026-02-03 22:00:00+00:00,2,1,0,1,1,0.07607391408687467,0.03803695704343733,1,0,1,0.07607391408687467,0.03803695704343733,2,2,0,0,0,0.0,0.0,1,0,1,0.5579944289693585,0.27899721448467923,4,1,0,3,2
17816,2026-02-04 02:00:00+00:00,3,2,0,1,1,0.07607391408687467,0.025357971362291554,2,0,1,0.07607391408687467,0.025357971362291554,2,2,0,0,0,0.0,0.0,1,0,1,0.5579944289693585,0.27899721448467923,5,1,0,4,2
17817,2026-02-04 06:00:00+00:00,3,3,0,0,0,0.0,0.0,2,0,1,0.07607391408687467,0.025357971362291554,2,2,0,0,0,0.0,0.0,1,0,1,0.5579944289693585,0.27899721448467923,5,0,0,5,2
17818,2026-02-04 10:00:00+00:00,3,2,0,1,1,0.30677681321758765,0.10225893773919588,1,0,2,0.30677681321758765,0.12761690910148746,2,2,0,0,0,0.0,0.0,1,0,1,0.5579944289693585,0.27899721448467923,5,1,0,4,3
