confirm_idx,breach_idx,side_label,source_cluster_id_raw,family,level,strength,age_bars,origin_idx,active_start_idx,sweep_class,tradeable,selectivity_class,micro_interaction,standard_liquidity,displacement_confirmed,quality,pre_breach_distance_atr,followed_by_displacement,followed_by_bos,followed_by_choch,followthrough_available,penetration_atr,active_source_count,nearest_source_distance_atr_signed,nearest_source_distance_atr_abs,session_source_type,session_source_scope,breach_session_phase,historical_max_distance_atr,source_level_key,source_instance_key,family_group
14903,14903,above,14903101.0,resistance,1978.3550000000002,0.6,3.0,14901,14900,3,0,displacement_confirmed_sweep,0,1,1,0.5576884590878226,0.3530981984010462,1,1,0,1,0.4150544810528897,8.0,0.39021079099716266,0.39021079099716266,,,Asia,0.8057977444275799,resistance|above|1978.355,resistance|above|1978.355|14900,s_r
14904,14901,above,14901103.0,session_high,1972.5,0.45,3.0,14898,14898,4,0,micro_interaction_sweep,1,0,0,0.5821917879936102,0.03614916471739733,1,1,0,1,0.7281238880883131,10.0,0.08376062843044813,0.08376062843044813,prev_asia_high,completed_previous_session_only,Dead,0.8551463745003844,session_high|above|1972.5,session_high|above|1972.5|14898,session
14905,14904,below,14904201.0,previous_week_low,1945.75,0.55,20.0,14884,14884,4,0,standard_liquidity_sweep,0,1,0,0.5217684760429414,3.8863683150404844,0,0,0,1,0.2603192486348472,8.0,-0.04252226770530241,0.04252226770530241,,,London,4.217050851844831,previous_week_low|below|1945.75,previous_week_low|below|1945.75|14884,prior_period
14919,14916,above,14916104.0,previous_day_high,1960.5,0.6,5.0,14911,14911,4,0,displacement_confirmed_sweep,0,1,1,0.5774999999999999,0.4336910697951011,0,0,1,1,1.2535984514281782,10.0,0.8053589943164754,0.8053589943164754,,,London,0.6438504270914922,previous_day_high|above|1960.5,previous_day_high|above|1960.5|14911,prior_period
14924,14923,below,14923201.0,previous_week_low,1942.57,0.55,9.0,14914,14914,4,0,standard_liquidity_sweep,0,1,0,0.421761567727212,0.6265383260083613,0,0,0,1,0.15648725265136335,9.0,0.02744365997991982,0.02744365997991982,,,Overlap,3.2390780650606916,previous_week_low|below|1942.57,previous_week_low|below|1942.57|14914,prior_period
14935,14934,below,14934201.0,previous_day_low,1932.94,0.55,3.0,14929,14931,4,1,tradeable_sweep_candidate,0,1,0,0.6114187405328433,0.43191578570960837,0,0,0,1,0.457706859847416,9.0,-0.08490793921808353,0.08490793921808353,,,London,0.5151423371173804,previous_day_low|below|1932.94,previous_day_low|below|1932.94|14931,prior_period
14940,14940,below,14940201.0,support,1932.5781806739662,0.55,10.0,3115,14930,3,0,standard_liquidity_sweep,0,1,0,0.727154269620789,0.14244936611959702,0,0,0,1,0.683918532077933,8.0,1.3952327651341492,1.3952327651341492,,,London,0.5761270511400631,support|below|1932.5782,support|below|1932.5782|14930,s_r
14941,14940,below,14940202.0,support,1930.0192747665565,0.7,7.0,3116,14933,4,0,standard_liquidity_sweep,0,1,0,0.6480118349232821,0.5336352047110303,0,0,0,1,0.683918532077933,8.0,1.3952327651341492,1.3952327651341492,,,London,0.9473057965874515,support|below|1930.0193,support|below|1930.0193|14933,s_r
14951,14951,below,14951201.0,session_low,1933.32,0.45,4.0,14947,14947,3,0,micro_interaction_sweep,1,0,0,0.5395313911809694,0.10569635481602323,0,0,0,1,0.19023916395750987,10.0,0.2578448172647321,0.2578448172647321,prev_london_low,completed_previous_session_only,Asia,0.4793701459510202,session_low|below|1933.32,session_low|below|1933.32|14947,session
14967,14965,below,14965201.0,previous_day_low,1914.03,0.6,4.0,14960,14961,4,0,standard_liquidity_sweep,0,1,0,0.4258333218880653,1.3626015709965398,0,0,0,1,0.17499997138683002,9.0,-0.055341871293251264,0.055341871293251264,,,Overlap,1.3626015709965398,previous_day_low|below|1914.03,previous_day_low|below|1914.03|14961,prior_period
14974,14973,below,14973201.0,previous_day_low,1912.19,0.6,3.0,14970,14970,4,0,micro_interaction_sweep,1,0,0,0.5160096246335556,0.23581679571460495,1,0,0,1,0.36085739491722224,9.0,-0.11234239653084101,0.11234239653084101,,,Dead,0.6391138898007166,previous_day_low|below|1912.19,previous_day_low|below|1912.19|14970,prior_period
14977,14976,below,14976202.0,previous_week_low,1910.07,0.7000000000000001,2.0,14973,14974,4,1,tradeable_sweep_candidate,0,1,0,0.7051220091840003,0.679170538051199,0,0,0,1,1.1940033786752227,9.0,0.23686706702464835,0.23686706702464835,,,London,0.679170538051199,previous_week_low|below|1910.07,previous_week_low|below|1910.07|14974,prior_period
14982,14982,below,14982201.0,equal_low,1902.7263803087465,0.75,166.0,2640,14816,3,1,tradeable_sweep_candidate,0,1,0,0.7747711387322493,0.2887032932722416,0,0,0,1,0.872711387322493,6.0,0.16318325730253508,0.16318325730253508,,,London,11.984147901709564,equal_low|below|1902.7264,equal_low|below|1902.7264|14816,eqh_eql
14985,14984,below,14984201.0,previous_day_low,1902.66,0.55,4.0,14980,14980,4,0,standard_liquidity_sweep,0,1,0,0.4511466207091256,0.26821103718253997,0,0,0,1,0.2195332184394806,7.0,-0.16985781864661845,0.16985781864661845,,,NY,0.4180374610889974,previous_day_low|below|1902.66,previous_day_low|below|1902.66|14980,prior_period
14997,14995,below,14995202.0,session_low,1892.06,0.5,4.0,14991,14991,4,0,standard_liquidity_sweep,0,1,0,0.5808333333333334,0.6451945057030206,0,0,0,1,0.7059994794992517,8.0,-0.5248548762066672,0.5248548762066672,prev_asia_low,completed_previous_session_only,Overlap,0.6451945057030206,session_low|below|1892.06,session_low|below|1892.06|14991,session
15006,15006,above,15006102.0,resistance,1891.15,0.55,3.0,7416,15003,3,0,standard_liquidity_sweep,0,1,0,0.7120916205317478,0.2763550311295517,0,0,0,1,1.1096878244351072,8.0,-0.02020696421998409,0.02020696421998409,,,London,0.9528535120897331,resistance|above|1891.15,resistance|above|1891.15|15003,s_r
15008,15007,below,15007201.0,session_low,1887.57,0.45,4.0,15003,15003,4,0,displacement_confirmed_sweep,0,1,1,0.47926813286675235,0.38393232018005113,1,0,1,1,0.3419203321668808,7.0,1.018295487064725,1.018295487064725,prev_ny_low,completed_previous_session_only,Overlap,0.38393232018005113,session_low|below|1887.57,session_low|below|1887.57|15003,session
15012,15011,above,15011103.0,previous_day_high,1898.785,0.6,4.0,15006,15007,4,1,tradeable_sweep_candidate,0,1,1,0.6860612357625434,0.56772824210946,1,0,0,1,0.8132624414178365,7.0,0.09889925166991255,0.09889925166991255,,,Asia,0.6562182794207243,previous_day_high|above|1898.785,previous_day_high|above|1898.785|15007,prior_period
15013,15012,below,15012202.0,session_low,1893.86,0.5,3.0,15009,15009,4,1,tradeable_sweep_candidate,0,1,1,0.6183892419069831,1.463872394552158,1,0,0,1,0.6978579285640926,7.0,0.4999772704934526,0.4999772704934526,prev_asia_low,completed_previous_session_only,London,1.463872394552158,session_low|below|1893.86,session_low|below|1893.86|15009,session
15017,15017,above,15017102.0,previous_day_high,1904.495,0.6,4.0,15012,15013,3,0,displacement_confirmed_sweep,0,1,1,0.4772372913156065,0.3055743658807449,1,0,0,1,0.1601115478219224,8.0,0.27376557155229986,0.27376557155229986,,,Asia,1.051913304730303,previous_day_high|above|1904.495,previous_day_high|above|1904.495|15013,prior_period
